date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:03	443/443	---M--	200	added ('OK')	text/plain	etag:W/%221bb-vSHNsUa7VWyA63DVja2Ytd/v8ts%22	https://palcacer.wixsite.com/robots.txt		(from )
15:11:04	579995/579995	---MCZ	200	added ('OK')	text/html	etag:W/%222f46ff6061ea4328507875093b4ab42b%22	https://palcacer.wixsite.com/palcacer	/home/palcacer/websites/pedroalcacer.com/palcacer.wixsite.com/palcacer.html	(from )
15:11:10	3477/3477	---MCZ	200	added ('OK')	image/x-icon	etag:%226901fee1-d95%22	https://www.wix.com/favicon.ico	/home/palcacer/websites/pedroalcacer.com/www.wix.com/favicon.ico	(from https://palcacer.wixsite.com/palcacer)
15:11:11	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	/home/palcacer/websites/pedroalcacer.com/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://palcacer.wixsite.com/palcacer)
15:11:11	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	/home/palcacer/websites/pedroalcacer.com/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://palcacer.wixsite.com/palcacer)
15:11:14	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	/home/palcacer/websites/pedroalcacer.com/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://palcacer.wixsite.com/palcacer)
15:11:23	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Jan%202026%2014:11:20%20GMT	https://palcacer.wixsite.com/	/home/palcacer/websites/pedroalcacer.com/palcacer.wixsite.com/index.html	(from https://palcacer.wixsite.com/palcacer)
15:11:23	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Jan%202026%2014:11:20%20GMT	https://palcacer.wixsite.com/t	/home/palcacer/websites/pedroalcacer.com/palcacer.wixsite.com/t.5.delayed	(from https://palcacer.wixsite.com/palcacer)
15:11:26	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Jan%202026%2014:11:26%20GMT	https://palcacer.wixsite.com/e	/home/palcacer/websites/pedroalcacer.com/palcacer.wixsite.com/e.6.delayed	(from https://palcacer.wixsite.com/palcacer)
15:11:32	580882/580882	---MCZ	200	added ('OK')	text/html	etag:W/%228ad4c240d57b84dd7256caf5fc7112c1%22	https://palcacer.wixsite.com/palcacer/de	/home/palcacer/websites/pedroalcacer.com/palcacer.wixsite.com/palcacer/de.html	(from https://palcacer.wixsite.com/palcacer)
