,,,,,
,Tabla 1,,,,
,Data,Ciudad,Lugar,Ensemble,Nombre del programa
,06.2007,"Barcelona, España ",Noumon,La Fura dels Baus,L’Orfeo
,27.3.2022,"Berlin, Alemania",Theater Aufbau Kreuzberg,Musica Sequenza & Kainkollektiv,Kassia
,20.03.2022,"Berlin, Alemania",Ev. Kirche Am Lietzensee,Titans Rising Friends,Caritas abundant in omnia
,06.03.2022,"Leipzig, Alemania",Kulturnhalle,Anima Shirvani,West-Östlicher Divan
,08.02.2022,"Berlin, Alemania",Kammermusiksaal Friedenau,"Natalie Pfeiffer, Alma Stolte, Anna Reisener, Lea Strecker, Semion Gurevich, Pedro Alcàcer",Masterrezital Hedwig Ohse
,23.12.2021,"Berlin, Alemania",Kammermusiksaal der Philharmonie,Berlin Baroque,"Weihnachtsoratorium, J.S Bach"
,11.12.2021,"Berlin, Alemania",Ev. Kirche Am Lietzensee,Titans Rising ,Bailar y Danzar
,17.11.2021,"Berlin, Alemania",Pierre Boulez Saal,Boulez Ensemble,Guiseppe Mentuccia/ Vivaldi
,14.11.2021,"Berlin, Alemania",Pierre Boulez Saal,Corellis Cousinen,In stile italiano
,07.11.2021,"Berlin, Alemania",Kühlhaus - Altemusikfest Fridenau,Crossing borders Ensemble ,Crossing Borders
,20.10.2021,"Berlin, Alemania",Clinkerlounge - Altemusikfest Fridenau,Illtupia,Tanz auf dem Vulkan 
,22.08.2021,"Hamburgo, Alemania",Melanchthonkirche Groß Flottbek,AnimaShirvani,West-Östlicher Diven
,20.06.2021,"Berlin, Alemania",Kammermusiksaal Friedenau,"Mazan Goldenfeld, Ekaterina Gorynina, Pedro Alcàcer",Anima Barroca
,19.06.2021,"Berlin, Alemania",Freilichtbühne an der Zitadelle,Berliner Figuralchor - Berlin Baroque Leitung Gerhard Oppelt,Theodora - Haendel
,13.12.2020,Lietzensee,,,Titans Rising
,20.11.2020,"Berlin, Alemania",Joseph Joachim Saal Universität der Künste ,Master Konzert/ Deborah York ,Abschluss Konzert 
,20.09.2020,"Berlin, Alemania",Flughafen Tempelhof ,Impulsia-Ensamble,L’Incorporazione di Popper
,15.08.2020,"Berlin, Alemania",Cosimaplatz,"Martina Rüping, Sabine Erdmann, Pedro Alcàcer",Barock Open Air Konzert
,29.07.2020,Valle (Monzuno),Sagrato della chiesa di San Giorgio,"Duo Bernardi, Alcàcer","Itinerari organistici, rassegna Musica in bianco e nero"
,08.02.2020,"Ciudad de México, México ","Bucareli, 69","Lobke Sprenkelling, Mónica López Lau, Melodie Michel, Pedro Alcàcer, Norma García",Musica Europea de los siglos XVII & XVIII
,07.02.2020,"Ciudad de México, México ",Escuela superior de música Plantel CENART,"Lobke Sprenkelling, Mónica López Lau, Melodie Michel, Pedro Alcàcer, Norma García",Concierto de Música Antigua 
,23.11.2019,Lleida,Sala Nausica de l’Ateneu,Solo,Dos peninsulas
,23.11.2019,"Lleida, España ",Sala Nausica de l’Ateneu,Solo,Dos peninsulas
,17.11.2019,"Bologna, Italia",Oratio di San Filippo Neri,Baby Bofe’ Bologna Festival,Il Mondo di Leonardo
,16.11.2019,"Ferrara, Italia",Museo Archeologico Nazionale,D’archi Barroco del Conservatorio “Frescobaldi” di Ferrara,Con l’Archetto e con la Voce
,03.11.2019,"Ravena, Italia",Museo Archeologico Nazionale,D’archi Barroco del Conservatorio “Frescobaldi” di Ferrara,Con l’Archetto e con la Voce
,02.11.2019,"Bologna, Italia",Chiesa dei SS. Cosma e Damiano,Bononia Antiqua,"Blavet, il Bautista di Parigi"
,29.10.2019,Ferrara,,,There was a star dancing
,11.09.2019,"Guanajuato, Mexico",Templo de la compañía ,Solo,Guitarra renacentista y guitarra barroca
,08.09.2019,"Guanajuato, Mexico",Teatro Juarez,Pedro Alcàcer & Capella Guanajuatensis,Triosonatas de Italia a Francia
,06.09.2019,"Guanajuato, Mexico",Casa cuatro,Solo,Dos peninsulas
,17.06.2019,"Bologna, Italia",San Colombano- Collezione tagliavini,Festa della Musica,"Transilvania. Musica, Danza e Poesie dall’Ungheria"
,05.06.2019,"Trieste, Italia",Conservatorio di musica Giuseppe Tartini,Harmonicus Concertus,"Sonate per flauto, Giuseppe Tartini"
,26.05.2019,"Viena, Austria",Musik in der Praxis,Bologna Baroque ,Antonio Vivaldi: Sonaten für Violoncello
,16.05.2019,"Bologna, Italia",Chiesa di San Cosma e Damiano,"Boris Begelman, Federico Corrado, Viola Mattioni, Pedro Alcàcer, Federico Lanzellotti",Concerto per i soci BCC Felsinea
,12.05.2019,"Fano, Italia",Biblioteca Federiciana,"Maria Chiara Mazzi, Musicologa. Pedro Alcàcer Doria, Liutista",Il Libro delle Meraviglie
,17.03.2019,"Bologna, Italia",Associazione clavicembalistica Bolognese,Solo,Musiche della collezione della biblioteca internazionale della musica di Bologna
,13.03.2019,"Barcelona, España ",Auditori Casa Amèrica-Catalunya,Solo,El Llop Ferotge
,02.03.2019,"Bremen, Alemania",Sendesaal,Volcania,Villa Vivaldi
,22.02.2019,"Guanajuato, Mexico",Casa cuatro,Roberto Rivadeneyra/Violin. Pedro Alcacer/Archilaúd ,Música del seicento italiano
,20.02.2019,"Verona, Italia",Salone di Casa Boggian,Departamento di Musica Antica,Saggio della classe di Flauto Traversiere Prof. Marcello Gatti
,20.02.2019,"Verona, Italia",Conservatorio Statale di Musica “E.F. dall’Abaco” di verona,Saggio della classe di fatto traversiere. Prof. Marcello Gatti,Jean Bodin de Boismortier
,31.10.2018,"Salzburg, Austria",Salzburger Landestheater,Theaterorcheste,Motezuma/Baldassare Galuppi
,23.10.2018,"Ferrara, Italia",Sala Estense ,Saggio della classe di fatto traversiere. Prof. Marcello Gatti,Lezione-Concerto/If music be the food of love
,07.10.2018,"Vicenza, Italia",Parrocchia di Sant’Agostino,Sensus,Don Quixote
,21.09.2018,"Mantova, Italia",Basilica Palatina di Santa Barbara,SANCTAE BARBARAE CONCENTUS,Concerto conclusivo della settimana di studi sul repertorio rinascimentale della cappella ducale dei Gonzaga
,19.07.2018,"Voltana, Italia",Chiesa di S. Giuseppe di Chiesanuova,Voz Latina,Le Caravelle della Musica
,16.07.2018,"Lanciano, Italia",Chiesa del Purgatorio,Musica Elegancia Consort,"La viola da gamba, dall’Ars Nova al rinacscimento e al barrocco"
,24.06.2018,"Milan, Italia",Basilica di Santo Stefano Maggiore,Coro & Ensemble Voz Latina. Dir. Maximiliano Baños,Misa Criolla
,19.05.2018,"Bologna, Italia",San Colombano,Festa della Musica,Musica e spettacolo nel regno di Napoli
,22.04.2018,"Bologna, Italia",Società Bolognese per la Musica antica.,"Victor Aragón, Rosita Ippolito, Pedro Alcàcer.",Nobilità a 7 corde
